date,1. open,2. high,3. low,4. close,5. volume
2021-09-27 07:02:00,297.75,297.86,297.75,297.86,1715.0
2021-09-27 07:01:00,297.7,297.79,297.7,297.79,2195.0
2021-09-27 06:59:00,297.45,297.45,297.45,297.45,320.0
2021-09-27 06:58:00,297.46,297.46,297.46,297.46,109.0
2021-09-27 06:57:00,297.46,297.46,297.31,297.31,600.0
2021-09-27 06:56:00,297.63,297.63,297.44,297.44,3936.0
2021-09-27 06:55:00,297.81,297.81,297.81,297.81,292.0
2021-09-27 06:50:00,298.11,298.11,298.11,298.11,370.0
2021-09-27 06:49:00,298.1,298.11,298.1,298.11,1003.0
2021-09-27 06:46:00,298.37,298.37,298.37,298.37,209.0
2021-09-27 06:44:00,298.37,298.6,298.37,298.6,1725.0
2021-09-27 06:33:00,298.37,298.37,298.37,298.37,208.0
2021-09-27 06:18:00,298.51,298.51,298.51,298.51,244.0
2021-09-27 06:04:00,298.34,298.34,298.28,298.28,421.0
2021-09-27 05:53:00,298.82,298.82,298.82,298.82,190.0
2021-09-27 05:36:00,299.12,299.12,299.03,299.03,719.0
2021-09-27 05:32:00,299.12,299.51,299.12,299.51,330.0
2021-09-27 05:31:00,299.3,299.64,299.3,299.64,3056.0
2021-09-27 05:30:00,299.67,299.67,299.43,299.43,793.0
2021-09-27 05:15:00,299.8,299.8,299.8,299.8,215.0
2021-09-27 05:14:00,299.75,299.75,299.75,299.75,724.0
2021-09-27 05:10:00,299.5,299.5,299.5,299.5,196.0
2021-09-27 04:47:00,299.35,299.35,299.35,299.35,150.0
2021-09-27 04:25:00,299.38,299.38,299.38,299.38,274.0
2021-09-27 04:11:00,299.38,299.38,299.38,299.38,503.0
2021-09-27 04:06:00,299.54,299.54,299.54,299.54,767.0
2021-09-27 04:05:00,299.7,299.7,299.7,299.7,276.0
2021-09-27 04:02:00,300.0,300.0,300.0,300.0,225.0
2021-09-24 19:59:00,299.5,299.5,299.5,299.5,267.0
2021-09-24 19:57:00,299.44,299.44,299.44,299.44,100.0
2021-09-24 19:51:00,299.35,299.35,299.35,299.35,250.0
2021-09-24 19:45:00,299.35,299.35,299.35,299.35,150.0
2021-09-24 19:01:00,299.5,299.5,299.5,299.5,205.0
2021-09-24 18:48:00,299.4,299.4,299.4,299.4,115.0
2021-09-24 18:46:00,299.41,299.41,299.4,299.41,1222.0
2021-09-24 18:40:00,299.42,299.42,299.42,299.42,1113.0
2021-09-24 18:32:00,299.5,299.5,299.5,299.5,198.0
2021-09-24 18:19:00,299.46,299.46,299.46,299.46,130.0
2021-09-24 18:04:00,299.42,299.42,299.42,299.42,127.0
2021-09-24 17:50:00,299.5,299.5,299.5,299.5,324.0
2021-09-24 17:36:00,299.48,299.48,299.48,299.48,295.0
2021-09-24 17:35:00,299.4106,299.4106,299.4106,299.4106,105.0
2021-09-24 17:31:00,299.47,299.48,299.47,299.48,288.0
2021-09-24 17:30:00,299.47,299.47,299.35,299.47,3742.0
2021-09-24 17:15:00,299.39,299.39,299.39,299.39,1074.0
2021-09-24 17:02:00,299.41,299.41,299.41,299.41,204.0
2021-09-24 16:49:00,299.48,299.48,299.48,299.48,111.0
2021-09-24 16:45:00,299.59,299.65,299.59,299.65,830.0
2021-09-24 16:38:00,299.39,299.39,299.386,299.386,416.0
2021-09-24 16:37:00,299.37,299.37,299.37,299.37,122.0
2021-09-24 16:32:00,299.57,299.57,299.57,299.57,118.0
2021-09-24 16:30:00,299.8,299.8,299.8,299.8,262.0
2021-09-24 16:29:00,299.6688,299.6688,299.6688,299.6688,116.0
2021-09-24 16:27:00,299.4,299.4,299.4,299.4,185.0
2021-09-24 16:18:00,299.35,299.35,299.35,299.35,6666.0
2021-09-24 16:13:00,299.4,299.5,299.35,299.35,5758.0
2021-09-24 16:09:00,299.35,299.35,299.35,299.35,1084.0
2021-09-24 16:08:00,299.35,299.3572,299.35,299.35,27743.0
2021-09-24 16:07:00,299.35,299.35,299.35,299.35,111.0
2021-09-24 16:03:00,299.35,299.81,299.27,299.35,290002.0
2021-09-24 16:02:00,299.35,299.35,299.34,299.35,21633.0
2021-09-24 16:01:00,299.35,299.35,299.35,299.35,130035.0
2021-09-24 16:00:00,299.42,299.79,299.32,299.35,276356.0
2021-09-24 15:59:00,299.3753,299.5199,299.33,299.4071,119674.0
2021-09-24 15:58:00,299.18,299.4718,299.17,299.38,97613.0
2021-09-24 15:57:00,299.24,299.25,299.15,299.18,81411.0
2021-09-24 15:56:00,299.48,299.5,299.23,299.26,124756.0
2021-09-24 15:55:00,299.53,299.8,299.4054,299.4948,147606.0
2021-09-24 15:54:00,299.53,299.55,299.49,299.54,50028.0
2021-09-24 15:53:00,299.39,299.5301,299.38,299.52,66993.0
2021-09-24 15:52:00,299.48,299.48,299.34,299.37,69273.0
2021-09-24 15:51:00,299.52,299.57,299.45,299.47,89974.0
2021-09-24 15:50:00,299.6094,299.66,299.47,299.5199,48107.0
2021-09-24 15:49:00,299.53,299.62,299.41,299.61,53994.0
2021-09-24 15:48:00,299.63,299.661,299.54,299.54,44661.0
2021-09-24 15:47:00,299.51,299.67,299.4623,299.6334,47654.0
2021-09-24 15:46:00,299.53,299.66,299.5016,299.54,48287.0
2021-09-24 15:45:00,299.56,299.63,299.525,299.525,25155.0
2021-09-24 15:44:00,299.56,299.62,299.54,299.56,33346.0
2021-09-24 15:43:00,299.525,299.586,299.49,299.56,34000.0
2021-09-24 15:42:00,299.62,299.63,299.5,299.525,42679.0
2021-09-24 15:41:00,299.605,299.67,299.6,299.635,28987.0
2021-09-24 15:40:00,299.5199,299.605,299.48,299.605,42052.0
2021-09-24 15:39:00,299.4,299.53,299.36,299.52,38475.0
